train_human_source,test_human_source,classifier,accuracy,precision,recall,f1,auc
CEAS_08,Nazario,xgboost,0.908,0.9005,1.0,0.9476,0.9675
CEAS_08,Nigerian_Fraud,xgboost,0.9716,0.9683,1.0,0.9839,0.9988
CEAS_08,TREC-07,xgboost,0.9854,0.9813,1.0,0.9906,0.9997
CEAS_08,enron_data_fraud_labeled,xgboost,0.9851,0.9846,1.0,0.9922,0.9926
Nazario,CEAS_08,xgboost,0.9991,0.9988,1.0,0.9994,1.0
Nazario,Nigerian_Fraud,xgboost,0.9592,0.9552,1.0,0.9771,0.9983
Nazario,TREC-07,xgboost,0.9957,0.9944,1.0,0.9972,0.9996
Nazario,enron_data_fraud_labeled,xgboost,0.9966,0.9964,1.0,0.9982,0.9982
Nigerian_Fraud,CEAS_08,xgboost,0.9369,0.9242,1.0,0.9606,0.9994
Nigerian_Fraud,Nazario,xgboost,0.8852,0.8789,1.0,0.9355,0.9692
Nigerian_Fraud,TREC-07,xgboost,0.9638,0.955,1.0,0.977,0.9995
Nigerian_Fraud,enron_data_fraud_labeled,xgboost,0.9885,0.9881,1.0,0.994,0.9963
TREC-07,CEAS_08,xgboost,0.9968,0.9958,1.0,0.9979,0.9998
TREC-07,Nazario,xgboost,0.9245,0.9169,1.0,0.9566,0.9849
TREC-07,Nigerian_Fraud,xgboost,0.9906,0.9893,1.0,0.9946,0.9991
TREC-07,enron_data_fraud_labeled,xgboost,0.9933,0.993,1.0,0.9965,0.998
enron_data_fraud_labeled,CEAS_08,xgboost,0.8762,0.8613,1.0,0.9255,0.9994
enron_data_fraud_labeled,Nazario,xgboost,0.9225,0.9149,1.0,0.9555,0.9883
enron_data_fraud_labeled,Nigerian_Fraud,xgboost,0.966,0.9624,1.0,0.9808,0.9991
enron_data_fraud_labeled,TREC-07,xgboost,0.9235,0.9095,1.0,0.9526,0.9982
